Xersen|Exersen|Xersen|Exersen|unknown
Z|R|Zeusis|Reusis|unknown
xerses|rxerses|Artaxerses|Artarxerses|unknown
iati|ai|captiuitati|captiuati|unknown
xersen|rxersen|Artaxersen|Artarxersen|unknown
itantes|tantes|habitantes|habtantes|unknown
profecti|facti|profecti|facti|unknown
s|m|commonefactus|commonefactum|unknown
Is|His|Is|His|unknown
xerat|cxerat|iniunxerat|iniuncxerat|unknown
e|o|Zerobabel|Zorobabel|unknown
xersis|rxersis|Artaxersis|Artarxersis|unknown
xerses|rxersus|Artaxerses|Artarxersus|unknown
orum|eorum|Machaborum|Machabeorum|unknown
iaque|aque|itaque|atque|unknown
xersis|rxersis|Artaxersis|Artarxersis|unknown
Ierusalem|Hierusalem|Ierusalem|Hierusalem|unknown
xerses|rxerses|Artaxerses|Artarxerses|unknown
Ierusalem|Hierusalem|Ierusalem|Hierusalem|unknown
oeris|aris|poteris|patris|unknown
xerses|rxerses|Artaxerses|Artarxerses|unknown
XL|.|XL|.|unknown
i|y|historia|hystoria|y
xerses|rxerses|Artaxerses|Artarxerses|unknown
eras|teras|literas|litteras|unknown
haginensium|aginensium|Carthaginensium|Cartaginensium|unknown
unt|iunt,|incendunt|incendiunt,|unknown
s|n|discessionis|discensionis|unknown
xerses|rxerses|Artaxerses|Artarxerses|unknown
xit|cxit|iunxit|iuncxit|generic-orthographic
Egyptiorum|Gyptiorum|Egyptiorum|Gyptiorum|unknown
xerses|rxerses,|Artaxerses|Artarxerses,|unknown
Irchania|Uchania|Irchania|Uchania|unknown
sthenes|nsthenes|Demosthenes|Demonsthenes|unknown
am|cam|Achademiam|Achademicam|unknown
m||Italiam|Italia|unknown
que|tque|auxiliaque|auxiliatque|unknown
i|e|insignis|insignes|unknown
hasta|asta|hasta|asta|unknown
mnium|nium|Samnium|Sanium|unknown
s|m|uicesimus|uicesimum|unknown
hracas|racas|Thracas|Tracas|unknown
cythis|ithis|Scythis|Sithis|unknown
pc|cp|suspiciende|suscipiende|unknown
apamenos|menos|Parapamenos|Parmenos|unknown
o|e|montes|mentes|unknown
i|e|redimit|redemit|unknown
norum|ueorum|Indorum|Iudeorum|unknown
substinuit|obtinuit|substinuit|obtinuit|unknown
m|n|Egyssenem|Egyssenen|unknown
,|et|,|et|unknown
u|o|octuaginta|octoaginta|unknown
s|m|hostius|hostium|unknown
m|s|tutatum|tutatus|unknown
r|n|irrumperet|inrumperet|unknown
raret|eret|peragraret|perageret|unknown
a|u|eam|eum|unknown
hac|ac|hac|ac|unknown
e|c|eum|cum|unknown
c|t|nunciaret|nuntiaret|tc
ac|et|ac|et|unknown
haustus|austu|haustus|austu|unknown
o|i|suo|sui|unknown
y,|i|Illyrico,|Illirico|unknown
s||Lagis|Lagi|unknown
c|t|Cecus|Cetus|tc
m||aquam|aqua|unknown
oy,|ui|Hierosolyma,|Hierusolima|unknown
t|c|ditionem|dicionem|tc
m|n|Ptolomei|Ptolonei|unknown
,|is|Babilon,|Babilonis|unknown
y|i|hystorya|hystoria|y
o|e|Boroeam|Beroeam|unknown
P|B|Pellam|Bellam|unknown
rum|um|Pirrum|Pirum|unknown
i|y|Epiri|Epyri|y
salie,|alie|Thessalie,|Thesalie|unknown
azarus|zarus|Eleazarus|Elezarus|unknown
ctum|tum|indictum|inditum|unknown
o||Demetrio|Demetri|unknown
noni|oni,|Antignoni|Antigoni,|unknown
bus|s|temporibus|temporis|unknown
m|n|nomem|nomen|unknown
|us|census|censusus|unknown
us|eus|argentus|argenteus|unknown
tilius|ilius|Attilius|Atilius|unknown
haginensium|aginensium|Carthaginensium|Cartaginensium|unknown
m||longitudinem|longitudine|unknown
adelfus|iadelfus|Filadelfus|Filiadelfus|unknown
y|i|Egypto|Egipto|y
Ierusalem|Hierusalem|Ierusalem|Hierusalem|unknown
m|s|quam|quas|unknown
at|unt|composuerat|composuerunt|unknown
eus|us|Phalereus|Phalerus|unknown
i|y|historie|hystorie|y
lia|ia|millia|milia|double
ordecim|tuordecim|quatordecim|quattuordecim|unknown
u|n|Guidius|Gnidius|unknown
nstruxit|struxit.|construxit|costruxit.|unknown
i|e|agnoscitur|agnoscetur|unknown
|s|anni|annis|unknown
s|is|Egyptiis|Egyptiiis|unknown
y|i|Egypto|Egipto|y
ronimus|onimus|Ieronimus|Ieonimus|unknown
m|s|aduersum|aduersus|unknown
phum|fum|Phyladelphum|Phyladelfum|unknown
s|is|Egyptiis|Egyptiiis|unknown
xit|cxit|iunxit|iuncxit|generic-orthographic
|s|Laodocen|Laodocens|unknown
y|i|Syria|Siria|y
y|i|Syriam|Siriam|y
m|n|Euphratem|Euphraten|unknown
phratem|fratem|Euphratem|Eufratem|unknown
t|h|Syradact|Syradach|unknown
us|hus|Seleucus|Seleuchus|unknown
us|hus|Seleucus|Seleuchus|unknown
s|m|Antiochus|Antiochum|unknown
m||successionem|successione|unknown
y|i|Egypti|Egipti|y
ys|iis|Egyptiis|Egiptiiis|unknown
isa|misa|amissa|ammissa|unknown
y|i|Phylopatorem|Philopatorem|y
I|QATTVOR|IV|QVATTVOR|unknown
m||amicam|amica|unknown
um|o|odium|odio|unknown
m|n|impetitam|inpetitam|unknown
et|ac|et|ac|unknown
mi|nu|Amilcari|Anulcari|unknown
n|m|nunquam|numquam|unknown
e|i|Pireneos|Pirineos|unknown
e|i|Pireneo|Pirineo|unknown
p|o|Alpes|Aloes|unknown
im|un|primus|prunus|unknown
m|n|commisso|conmisso|unknown
.|sunt|.|sunt|unknown
a|o|Hispania|Hisponia|unknown
e|u|Asdruualem|Asdruualum|unknown
rtium|tium|tertium|tetium|unknown
b|u|Asdrubale|Asdruuale|unknown
c|t|prouinciam|prouintiam|tc
ubal|iuial|Asdrubal|Asdriuial|unknown
iu|ui|iungeretur|uingeretur|unknown
m||Africam|Africa|unknown
is|o|annis|anno|unknown
|d|a|ad|unknown
simam|imam|famosissimam|famosisimam|unknown
c|g|Uulcani|Uulgani|unknown
a||antea|ante|unknown
